X,Y
-300000.0,-1800000.0
-299500.0,-1800000.0
-299000.0,-1800000.0
-298500.0,-1800000.0
-298000.0,-1800000.0
-297500.0,-1800000.0
-297000.0,-1800000.0
-296500.0,-1800000.0
-296000.0,-1800000.0
-295500.0,-1800000.0
-295000.0,-1800000.0
-294500.0,-1800000.0
-294000.0,-1800000.0
-293500.0,-1800000.0
-293000.0,-1800000.0
-292500.0,-1800000.0
-292000.0,-1800000.0
-291500.0,-1800000.0
-291000.0,-1800000.0
-290500.0,-1800000.0
-290000.0,-1800000.0
-289500.0,-1800000.0
-289000.0,-1800000.0
-288500.0,-1800000.0
-288000.0,-1800000.0
-287500.0,-1800000.0
-287000.0,-1800000.0
-286500.0,-1800000.0
-286000.0,-1800000.0
-285500.0,-1800000.0
-285000.0,-1800000.0
-284500.0,-1800000.0
-284000.0,-1800000.0
-283500.0,-1800000.0
-283000.0,-1800000.0
-282500.0,-1800000.0
-282000.0,-1800000.0
-281500.0,-1800000.0
-281000.0,-1800000.0
-280500.0,-1800000.0
-280000.0,-1800000.0
-279500.0,-1800000.0
-279000.0,-1800000.0
-278500.0,-1800000.0
-278000.0,-1800000.0
-277500.0,-1800000.0
-277000.0,-1800000.0
-276500.0,-1800000.0
-276000.0,-1800000.0
-275500.0,-1800000.0
-275000.0,-1800000.0
-274500.0,-1800000.0
-274000.0,-1800000.0
-273500.0,-1800000.0
-273000.0,-1800000.0
-272500.0,-1800000.0
-272000.0,-1800000.0
-271500.0,-1800000.0
-271000.0,-1800000.0
-270500.0,-1800000.0
-270000.0,-1800000.0
-269500.0,-1800000.0
-269000.0,-1800000.0
-268500.0,-1800000.0
-268000.0,-1800000.0
-267500.0,-1800000.0
-267000.0,-1800000.0
-266500.0,-1800000.0
-266000.0,-1800000.0
-265500.0,-1800000.0
-265000.0,-1800000.0
-264500.0,-1800000.0
-264000.0,-1800000.0
-263500.0,-1800000.0
-263000.0,-1800000.0
-262500.0,-1800000.0
-262000.0,-1800000.0
-261500.0,-1800000.0
-261000.0,-1800000.0
-260500.0,-1800000.0
-260000.0,-1800000.0
-259500.0,-1800000.0
-259000.0,-1800000.0
-258500.0,-1800000.0
-258000.0,-1800000.0
-257500.0,-1800000.0
-257000.0,-1800000.0
-256500.0,-1800000.0
-256000.0,-1800000.0
-255500.0,-1800000.0
-255000.0,-1800000.0
-254500.0,-1800000.0
-254000.0,-1800000.0
-253500.0,-1800000.0
-253000.0,-1800000.0
-252500.0,-1800000.0
-252000.0,-1800000.0
-251500.0,-1800000.0
-251000.0,-1800000.0
-250500.0,-1800000.0
-250000.0,-1800000.0
-249500.0,-1800000.0
-249000.0,-1800000.0
-248500.0,-1800000.0
-248000.0,-1800000.0
-247500.0,-1800000.0
-247000.0,-1800000.0
-246500.0,-1800000.0
-246000.0,-1800000.0
-245500.0,-1800000.0
-245000.0,-1800000.0
-244500.0,-1800000.0
-244000.0,-1800000.0
-243500.0,-1800000.0
-243000.0,-1800000.0
-242500.0,-1800000.0
-242000.0,-1800000.0
-241500.0,-1800000.0
-241000.0,-1800000.0
-240500.0,-1800000.0
-240000.0,-1800000.0
-239500.0,-1800000.0
-239000.0,-1800000.0
